DE	EN	LENGTH	TAGS	TIME
	Sorry, I didn't quite catch your name.	07	vtt	00:08:46
	I'd like to speak to Mr Wilson Could you put me through to Mr Wilson?	15	vtt	00:08:56
	This is Lin Chan returning your call.	07	vtt	00:09:01
	Thanks for returning my call.	05	vtt	00:09:04
	I look forward to seeing you then.	07	vtt	00:09:04
	The key points when using the phone are to speak clearly and give essential information.	15	vtt	00:09:11
	Don't speak too fast, and check that the other person has understood.	12	vtt	00:09:18
	If not, you may need to rephrase.	07	vtt	00:09:18
	Use polite, formal language - these conventional phrases are signals for the other person.	14	vtt	00:09:27
	We need to respond in the right way, or the conversation could be quite short.	15	vtt	00:09:34
	Acme Applicances, Lin Chan speaking.	05	vtt	00:09:40
	Thank you for calling me back.	06	vtt	00:09:46
	That's alright.	02	vtt	00:09:46
	And it's goodbye from The Business of English for today.	10	vtt	00:09:53
	See you next time.	04	vtt	00:09:53
