DE	EN	LENGTH	TAGS	TIME
	Denise suggests that, Parking isn't on the agenda for this meeting.	11	vtt	00:07:56
	But so that Barbara doesn't feel bad, she suggests it could be discussed at another time.	16	vtt	00:08:06
	Finally, we've looked at disagreeing, Let's look at ways of agreeing with a point.	14	vtt	00:08:12
	Well, in that case, I agree - we should do something now.	12	vtt	00:08:24
	Agreeing is simpler than disagreeing, as you don't have to state a reason.	13	vtt	00:08:28
	Repeat these phrases after me: I agree I agree In that case, I agree.	14	vtt	00:08:34
	I'll go along with you.	05	vtt	00:08:38
	I couldn't agree more.	04	vtt	00:08:41
	That's right.	02	vtt	00:08:45
	I concur.	02	vtt	00:08:48
	Absolutely!	01	vtt	00:08:50
	Let's review some of the other important expressions we've looked at in today's episode.	14	vtt	00:09:01
	I can't quite agree with you there.	07	vtt	00:09:15
	As far as I'm concerned, it's a question of safety.	10	vtt	00:09:22
	When giving opinions in a meeting, it's important to use phrases such as 'in my opinion', 'from my point of view' or 'I think', instead of just stating your opinions as facts.	32	vtt	00:09:42
	This is respectful of other people who may have different views.	11	vtt	00:09:49
	But when you strongly agree with something someone else says, you can say 'Hear Hear!' That's all for today - see you next time on The Business of English.	29	vtt	00:09:56
