DE	EN	LENGTH	TAGS	TIME
	Notice how the stress is on the word then, to confirm that the time is definite.	16	vtt	00:08:02
	Try saying this: I'll see you then.	07	vtt	00:08:08
	Let's have a look now at the end of the scene.	11	vtt	00:08:17
	There are some more useful phrases.	06	vtt	00:08:17
	Mr Tang is joining us for dinner.	07	vtt	00:08:21
	No problem, we'll see you outside in a few minutes.	10	vtt	00:08:32
	Victor says, I hope you don't mind.	07	vtt	00:08:37
	It's a polite way of asking for someone else's approval but Lin can't really say no, since Victor is listening.	20	vtt	00:08:42
	But Lin politely confirms the arrangement.	06	vtt	00:08:50
	Practise how she does this: Of course not.	08	vtt	00:08:57
	You're most welcome.	03	vtt	00:08:57
	What are the main points we've learned today.	08	vtt	00:09:03
	When inviting someone informally, make it sound like a suggestion.	10	vtt	00:09:03
	That way, if someone can't accept, they don't feel so bad.	11	vtt	00:09:09
	instead of, I invite you to join us.	08	vtt	00:09:18
	And if you need to make an excuse, don't just refuse an invitation - give a reason, and apologise.	19	vtt	00:09:23
	I'm sorry, I have another commitment.	06	vtt	00:09:23
	When confirming details, use an upward inflection.	07	vtt	00:09:33
	sounds like an order.	04	vtt	00:09:33
	But, About ten?	03	vtt	00:09:33
	is asking whether it's convenient for the other person.	09	vtt	00:09:43
	That's all for today on the Business of English.	09	vtt	00:09:43
	See you next time.	04	vtt	00:09:43
